id;title;description;price
1;# 01 Business courses;Course DescriptionBusiness courses Business courses Business courses;108
2;# 11 Management courses;Course DescriptionManagement courses Management courses Management courses;115
3;# 21 Accounting courses;Course DescriptionAccounting courses Accounting courses Accounting courses;164
4;# 31 Marketing courses;Course DescriptionMarketing courses Marketing courses Marketing courses;160
5;# 41 Project Management courses;Course DescriptionProject Management courses Project Management courses Project Management courses;92
6;# 51 Finance courses;Course DescriptionFinance courses Finance courses Finance courses;133
7;# 61 Administration courses;Course DescriptionAdministration courses Administration courses Administration courses;140
8;# 71 Hotel Management courses;Course DescriptionHotel Management courses Hotel Management courses Hotel Management courses;178
9;# 81 Leadership courses;Course DescriptionLeadership courses Leadership courses Leadership courses;166
10;# 91 Management Training courses;Course DescriptionManagement Training courses Management Training courses Management Training courses;171
11;# 101 Risk Management courses;Course DescriptionRisk Management courses Risk Management courses Risk Management courses;146
12;# 111 Supply Chain Management courses;Course DescriptionSupply Chain Management courses Supply Chain Management courses Supply Chain Management courses;137
13;# 121 Executive courses;Course DescriptionExecutive courses Executive courses Executive courses;170
14;# 131 Leadership development courses;Course DescriptionLeadership development courses Leadership development courses Leadership development courses;82
15;# 141 Business Management courses;Course DescriptionBusiness Management courses Business Management courses Business Management courses;101
16;# 151 Financial Management courses;Course DescriptionFinancial Management courses Financial Management courses Financial Management courses;145
17;# 161 Business Development training;Course DescriptionBusiness Development training Business Development training Business Development training;108
18;# 171 Corporate training;Course DescriptionCorporate training Corporate training Corporate training;112
19;# 181 Business courses;Course DescriptionBusiness courses Business courses Business courses;104
20;# 191 Management courses;Course DescriptionManagement courses Management courses Management courses;93
21;# 201 Accounting courses;Course DescriptionAccounting courses Accounting courses Accounting courses;146
22;# 211 Marketing courses;Course DescriptionMarketing courses Marketing courses Marketing courses;106
23;# 221 Project Management courses;Course DescriptionProject Management courses Project Management courses Project Management courses;160
24;# 231 Finance courses;Course DescriptionFinance courses Finance courses Finance courses;118
25;# 241 Hotel Management courses;Course DescriptionHotel Management courses Hotel Management courses Hotel Management courses;179
26;# 251 Leadership courses;Course DescriptionLeadership courses Leadership courses Leadership courses;132
27;# 261 Management Training courses;Course DescriptionManagement Training courses Management Training courses Management Training courses;129
28;# 271 Risk Management courses;Course DescriptionRisk Management courses Risk Management courses Risk Management courses;129
29;# 281 Supply Chain Management courses;Course DescriptionSupply Chain Management courses Supply Chain Management courses Supply Chain Management courses;131
30;# 291 Executive courses;Course DescriptionExecutive courses Executive courses Executive courses;132
31;# 301 Leadership development courses;Course DescriptionLeadership development courses Leadership development courses Leadership development courses;154
32;# 311 Business Management courses;Course DescriptionBusiness Management courses Business Management courses Business Management courses;139
33;# 321 Financial Management courses;Course DescriptionFinancial Management courses Financial Management courses Financial Management courses;84
34;# 33 Business courses;Course DescriptionBusiness courses Business courses Business courses;98
35;# 34 Management courses;Course DescriptionManagement courses Management courses Management courses;170
36;# 35 Accounting courses;Course DescriptionAccounting courses Accounting courses Accounting courses;83
37;# 36 Marketing courses;Course DescriptionMarketing courses Marketing courses Marketing courses;140
38;# 37 Project Management courses;Course DescriptionProject Management courses Project Management courses Project Management courses;120
39;# 38 Finance courses;Course DescriptionFinance courses Finance courses Finance courses;156
40;# 39 Administration courses;Course DescriptionAdministration courses Administration courses Administration courses;167
41;# 40 Hotel Management courses;Course DescriptionHotel Management courses Hotel Management courses Hotel Management courses;106
42;# 41 Leadership courses;Course DescriptionLeadership courses Leadership courses Leadership courses;118
43;# 42 Management Training courses;Course DescriptionManagement Training courses Management Training courses Management Training courses;142
44;# 43 Risk Management courses;Course DescriptionRisk Management courses Risk Management courses Risk Management courses;165
45;# 44 Supply Chain Management courses;Course DescriptionSupply Chain Management courses Supply Chain Management courses Supply Chain Management courses;99
46;# 45 Executive courses;Course DescriptionExecutive courses Executive courses Executive courses;144
47;# 46 Leadership development courses;Course DescriptionLeadership development courses Leadership development courses Leadership development courses;119
48;# 47 Business Management courses;Course DescriptionBusiness Management courses Business Management courses Business Management courses;149
49;# 48 Financial Management courses;Course DescriptionFinancial Management courses Financial Management courses Financial Management courses;128
50;# 49 Business Development training;Course DescriptionBusiness Development training Business Development training Business Development training;115
51;# 50 Corporate training;Course DescriptionCorporate training Corporate training Corporate training;100
52;# 51 Business courses;Course DescriptionBusiness courses Business courses Business courses;102
53;# 52 Management courses;Course DescriptionManagement courses Management courses Management courses;147
54;# 53 Accounting courses;Course DescriptionAccounting courses Accounting courses Accounting courses;142
55;# 54 Marketing courses;Course DescriptionMarketing courses Marketing courses Marketing courses;118
56;# 55 Project Management courses;Course DescriptionProject Management courses Project Management courses Project Management courses;159
57;# 56 Finance courses;Course DescriptionFinance courses Finance courses Finance courses;158
58;# 57 Hotel Management courses;Course DescriptionHotel Management courses Hotel Management courses Hotel Management courses;96
59;# 58 Leadership courses;Course DescriptionLeadership courses Leadership courses Leadership courses;145
60;# 59 Management Training courses;Course DescriptionManagement Training courses Management Training courses Management Training courses;176
61;# 60 Risk Management courses;Course DescriptionRisk Management courses Risk Management courses Risk Management courses;128
62;# 61 Supply Chain Management courses;Course DescriptionSupply Chain Management courses Supply Chain Management courses Supply Chain Management courses;172
63;# 62 Executive courses;Course DescriptionExecutive courses Executive courses Executive courses;143
64;# 63 Leadership development courses;Course DescriptionLeadership development courses Leadership development courses Leadership development courses;88
65;# 64 Business Management courses;Course DescriptionBusiness Management courses Business Management courses Business Management courses;82
66;# 65 Financial Management courses;Course DescriptionFinancial Management courses Financial Management courses Financial Management courses;115
