id;receipt_no;receipt_date;amount;description
1;Borders;2020-11-12;32488;Usability
2;payment Grass-roots;2020-11-12;51215;solutions Auto Loan Account Sleek
3;convergence Wyoming;2020-11-11;10433;niches Corporate
4;bluetooth;2020-11-11;91173;Avon Vista monitor
5;Run info-mediaries;2020-11-11;18661;Credit Card Account Fresh
6;Plastic Analyst Fresh;2020-11-12;929;Handcrafted Engineer
7;Directives;2020-11-11;189;European Unit of Account 17(E.U.A.-17)
8;Metal;2020-11-12;37654;quantify
9;TCP Beauty;2020-11-12;27478;Mississippi
10;deposit Response compressing;2020-11-11;65999;Gorgeous Cotton Sausages Diverse
